Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-April-2020,41.40,41.55,39.75,40.65,40.645580068846200042,782614,2407,31809800.00,192244,24.56,1.80,-0.75
9-April-2020,41.50,42.50,40.10,41.00,41.047751065468208552,1205104,2752,49466809.00,329389,27.33,2.40,-0.50
8-April-2020,43.00,45.30,40.55,40.80,42.754277490292458330,2163009,5287,92477887.00,207122,9.58,4.75,-2.20
7-April-2020,41.00,43.10,40.40,42.75,41.672903105856193827,1059579,2480,44155733.00,173008,16.33,2.70,1.75
3-April-2020,41.30,41.30,39.50,39.95,40.151842966739135867,800340,1718,32135126.00,101750,12.71,1.80,-1.35
1-April-2020,41.00,41.55,39.35,41.30,40.795801705791609166,799277,2180,32607146.00,129838,16.24,2.20,0.30
31-March-2020,42.70,42.70,40.75,41.05,41.332298262336766977,716537,1884,29616121.00,158267,22.09,1.95,-1.65
30-March-2020,44.55,44.55,40.25,40.70,41.504869187106941181,1027995,3082,42666798.00,166486,16.20,4.30,-3.85
27-March-2020,43.50,47.45,42.50,44.45,44.751324394409729056,2453763,4886,109809144.00,282296,11.50,4.95,0.95
26-March-2020,39.60,44.70,37.75,41.80,42.055733019502353732,1748712,5295,73543365.00,421003,24.08,6.95,2.20
25-March-2020,39.00,41.55,35.70,38.35,38.632120121669329356,1101017,3142,42534621.00,175784,15.97,5.85,-0.65
24-March-2020,44.00,44.00,37.35,37.80,39.585982307518665695,1173945,3692,46471766.00,296455,25.25,6.65,-6.20
23-March-2020,51.00,51.00,39.85,40.15,42.864495371526197014,817116,6184,35025265.00,312798,38.28,11.15,-10.85
20-March-2020,52.20,55.80,52.20,52.85,53.816205006355267940,1240703,2892,66769927.00,219618,17.70,3.60,0.65
19-March-2020,51.90,56.85,49.60,52.20,52.779065552591711356,1506302,3895,79501212.00,426867,28.34,7.25,0.30
18-March-2020,59.00,59.55,50.25,54.20,54.019172917994563115,917805,4464,49579067.00,203820,22.21,9.30,-4.80
17-March-2020,66.50,66.50,57.15,58.15,60.784035375139964583,860039,2910,52276641.00,187543,21.81,9.35,-8.35
16-March-2020,66.00,66.00,62.50,63.20,64.238425778144061845,689204,3156,44273380.00,336729,48.86,3.50,-2.80
13-March-2020,59.40,69.20,53.95,68.55,62.019097653352717417,1216118,4214,75422541.00,246281,20.25,15.25,9.15
12-March-2020,68.50,68.50,62.50,63.10,64.809862684272872418,1009644,5312,65434889.00,212527,21.05,6.00,-5.40
11-March-2020,73.50,75.20,71.00,71.40,72.653351195818594583,606112,2215,44036068.00,95990,15.84,4.20,-2.10
9-March-2020,78.00,78.65,69.75,72.80,73.466349311525339006,1032282,3781,75837990.00,201299,19.50,8.90,-5.20
6-March-2020,80.00,81.20,76.40,80.05,79.471551547022417570,433187,1970,34426043.00,125279,28.92,4.80,0.05
5-March-2020,86.60,86.60,82.90,83.10,83.859721131631004333,1059568,1719,88855077.00,191553,18.08,3.70,-3.50
4-March-2020,84.55,84.65,82.10,83.45,83.599258015962926472,311597,1191,26049278.00,79733,25.59,2.55,-1.10
3-March-2020,83.00,85.45,82.50,84.55,83.851515904200720020,334157,1127,28019571.00,64345,19.26,2.95,1.55
2-March-2020,86.70,88.30,81.90,82.75,84.433324893222489913,659549,2512,55687915.00,270378,40.99,6.40,-3.95
28-February-2020,86.40,87.05,85.10,85.85,86.201291841866600709,388128,1490,33457135.00,61819,15.93,1.95,-0.55
27-February-2020,85.25,89.50,84.65,89.05,87.499324541356665216,650669,2123,56933098.00,111894,17.20,4.85,3.80
26-February-2020,87.80,87.80,84.60,85.05,85.454241668419629173,166385,740,14218304.00,45225,27.18,3.20,-2.75
25-February-2020,87.00,87.90,85.95,86.35,86.790448654273686202,169128,588,14678695.00,44117,26.08,1.95,-0.65
24-February-2020,86.50,87.55,86.05,86.65,86.732920624945681603,149581,582,12973597.00,35427,23.68,1.50,0.15
20-February-2020,85.75,88.00,85.15,87.55,86.980151740956509958,590480,1671,51360040.00,105233,17.82,2.85,1.80
19-February-2020,82.60,85.40,82.60,84.45,84.430870528338371538,490254,1462,41392572.00,96533,19.69,2.80,1.85
18-February-2020,84.50,84.60,81.00,81.95,82.085786556511281340,458988,1445,37676391.00,131469,28.64,3.60,-2.55
17-February-2020,87.10,87.35,84.10,84.40,85.383342656796804870,384335,1056,32815807.00,85755,22.31,3.25,-2.70
14-February-2020,89.75,89.90,86.85,87.15,88.203247682177060924,274719,896,24231108.00,86721,31.57,3.05,-2.60
13-February-2020,90.25,90.35,89.00,89.20,89.389454734947178928,147763,492,13208454.00,47901,32.42,1.35,-1.05
12-February-2020,91.05,91.25,89.65,90.40,90.449844992393145219,139348,482,12604005.00,26677,19.14,1.60,-0.65
11-February-2020,90.20,91.30,90.05,90.50,90.565642486313960770,99006,443,8966542.00,24274,24.52,1.25,0.30
10-February-2020,91.80,91.80,89.90,90.00,90.827321252254994394,269402,882,24469062.00,56822,21.09,1.90,-1.80
